Location,HealthcareName,ServiceType
Toronto,2-Spirited People of the 1st Nations,AIDS Bureau
Toronto,Action Positive VIH-SIDA,AIDS Bureau
Toronto,African and Caribbean Council on HIV/AIDS in Ontario,AIDS Bureau
Toronto,Africans in Partnership Against AIDS,AIDS Bureau
Toronto,AIDS Bereavement & Resiliency Project of Ontario (c/o Fife House),AIDS Bureau
Kitchener,"AIDS Committee of Cambridge, Kitchener, Waterloo and Area",AIDS Bureau
Oshawa,AIDS Committee of Durham Region,AIDS Bureau
North Bay,AIDS Committee of North Bay and Area,AIDS Bureau
Ottawa,AIDS Committee of Ottawa,AIDS Bureau
Thunder Bay,AIDS Committee of Thunder Bay (operating as Elevate Northwestern Ontario),AIDS Bureau
Toronto,AIDS Committee of Toronto,AIDS Bureau
Windsor,AIDS Committee of Windsor,AIDS Bureau
Richmond Hill,AIDS Committee of York Region,AIDS Bureau
Sault Ste. Marie,Algoma Public Health,AIDS Bureau
Toronto,Alliance for South Asian AIDS Prevention,AIDS Bureau
Beardmore,Animbiigoo Zaagi'igan Anishinaabek (Lake Nipigon Ojibway),AIDS Bureau
Toronto,Asian Community AIDS Services,AIDS Bureau
London,Association of Iroquois and Allied Indians,AIDS Bureau
Toronto,Bay Centre for Birth Control,AIDS Bureau
Toronto,Birth Control & Venereal Disease Information Centre,AIDS Bureau
Toronto,Black Coalition for AIDS Prevention,AIDS Bureau
Brantford,Brant County Health Unit,AIDS Bureau
Ottawa,Bruce House,AIDS Bureau
Toronto,Canadian AIDS Treatment Information Exchange,AIDS Bureau
Ottawa,Carlington Community and Health Services,AIDS Bureau
Toronto,Casey House,AIDS Bureau
Toronto,Central Toronto Community Health Centres,AIDS Bureau
Toronto,Centre for Spanish-Speaking Peoples,AIDS Bureau
Toronto,Centre francophone de Toronto,AIDS Bureau
Ottawa,Centretown Community Health Centre,AIDS Bureau
Chatham-Kent,Chatham-Kent Public Health Unit,AIDS Bureau
Ottawa,"Children's Hospital of Eastern Ontario, Division of Infectious Diseases, Room 3002",AIDS Bureau
Wiarton,Chippewas of Nawash First Nation,AIDS Bureau
Hamilton,"City of Hamilton, Infectious Diseases Program",AIDS Bureau
Ottawa,"City of Ottawa, Ottawa Public Health",AIDS Bureau
Toronto,"City of Toronto, Toronto Public Health",AIDS Bureau
Oshawa,Durham Community Health Centre (operating as Carea Community Health Centre),AIDS Bureau
Oshawa,Durham Region Health Department,AIDS Bureau
Saint Thomas,Elgin St. Thomas Public Health,AIDS Bureau
Toronto,Family Service Toronto,AIDS Bureau
Toronto,Fife House,AIDS Bureau
Toronto,Gay Men's Sexual Health Alliance c/o Ontario AIDS Network,AIDS Bureau
Barrie,Gilbert Centre for Social and Support Services,AIDS Bureau
Toronto,Good Shepherd Refuge Social Ministries (Barrett House),AIDS Bureau
Sault Ste. Marie,"Group Health Centre, Sault Ste. Marie and District",AIDS Bureau
Burlington,Halton Region Health Department,AIDS Bureau
Hamilton,"Hamilton Health Sciences, SIS Clinic",AIDS Bureau
Toronto,Hassle Free Clinic,AIDS Bureau
Belleville,Hastings & Prince Edward Counties Health Unit,AIDS Bureau
Toronto,"Health Centre at 410, Family Health Team",AIDS Bureau
Sudbury,"Health Sciences North, The HAVEN Program",AIDS Bureau
Toronto,Hemophilia Ontario,AIDS Bureau
Toronto,HIV & AIDS Legal Clinic (Ontario),AIDS Bureau
Kingston,HIV/AIDS Regional Services,AIDS Bureau
Guelph,HIV/AIDS Resources and Community Health,AIDS Bureau
Toronto,Hospice Toronto,AIDS Bureau
Kingston,"Hotel Dieu Hospital, Infection & Immunology Clinic",AIDS Bureau
Oshawa,John Howard Society of Durham Region,AIDS Bureau
Kingston,Kingston Community Health Centres,AIDS Bureau
Kingston,"Kingston, Frontenac and Lennox & Addington Public Health Unit",AIDS Bureau
Whitby,Lakeridge Health,AIDS Bureau
Oshawa,"Lakeridge Health, Positive Care Clinic",AIDS Bureau
Toronto,LOFT Community Services,AIDS Bureau
London,London Intercommunity Health Centre,AIDS Bureau
Toronto,Maggie’s: Toronto Sex Workers Action Project,AIDS Bureau
London,Middlesex-London Health Unit,AIDS Bureau
Toronto,"Mount Sinai Hospital, Clinic for HIV-Related Concerns",AIDS Bureau
St. Catharines,Niagara Health System,AIDS Bureau
St. Catharines,Niagara Region Public Health Department,AIDS Bureau
North Bay,North Bay Parry Sound District Health Unit,AIDS Bureau
Lambton Shores,North Lambton Community Health Centre,AIDS Bureau
Kenora,Northwestern Health Unit,AIDS Bureau
Toronto,Ontario Aboriginal HIV/AIDS Strategy,AIDS Bureau
Toronto,Ontario AIDS Network,AIDS Bureau
Toronto,"Ontario Association of the Deaf, Deaf Outreach Project",AIDS Bureau
Toronto,Ontario HIV & Substance Use Training Program,AIDS Bureau
Toronto,Ontario HIV Treatment Network,AIDS Bureau
London,Ontario Organizational Development Program,AIDS Bureau
Ottawa,Ottawa Gay Men's Wellness Initiative (Operating as MAX Ottawa),AIDS Bureau
