Location,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +
Belleville CMA,3.65,3.3,2.7,1.5
Brantford CMA,0,1.85,1.75,2.3
Guelph CMA,4.35,1.8,1.6,0.7
Hamilton CMA,7.85,3.3,3.25,3.6
Kingston CMA,1.25,1.35,1.25,1.4
Kitchener-Cambridge-Waterloo CMA,2.75,2.55,2.55,2.1
London CMA,3.15,2.0,1.85,2.65
St. Catharines-Niagara CMA,0,2.75,2.05,2.25
Oshawa CMA,2.3,3.4,2.1,1.7
Ottawa-Gatineau CMA (Ont. part),1.75,1.6,1.85,1.45
Peterborough CMA,3.4,1.75,1.65,1.95
Greater Sudbury/Grand Sudbury CMA,3.1,2.45,2.25,2.5
Thunder Bay CMA,7.7,4.85,3.4,6.2
Toronto CMA,1.85,1.4,1.2,1.0
Windsor CMA,4.85,3.2,2.1,1
Chatham-Kent CA,0,2.25,2.9,1.2
Zone 1 - Chatham City,0,1.95,2.9,0
Zone 2 - Wallaceburg,0,0,3.2,4.8
Zone 3 - Rest of Kent,0,1.95,2.5,0
Cornwall CA,0,4.05,4.25,3.35
Zone 1 - City Centre,0,4.9,3.5,4.3
Zone 2 - City North,0,3.4,3.8,0
Zone 3 - Outlying Areas,0,0,0,0
Kawartha Lakes CA,0.0,1.7,1.3,0
Norfolk CA,0,1.25,1.7,0
North Bay CA,0,2.4,1.8,0
Sarnia CA,5.7,3.85,2.75,0
Sault Ste. Marie CA,4.3,4.6,5.9,4.15
"East End, Rural Sault Ste. Marie",3.45,4.25,6.85,6.1
Central,5,4.6,6.25,4.7
"West End, Prince",0,0,3.3,0
Bracebridge T,0,0.0,2.15,0
Brighton MU,0,0.0,0.9,0
Brock TP,0,9.15,0,0
Erin T,0,0,0,0
Essex T,0,0.0,0.75,0
Haldimand County CY,0,0.0,0.0,0
Gravenhurst T,0,0,0.0,0
Greater Napanee T,0,0.0,0.45,0.0
Huntsville T,0,0,0.4,0
Kincardine MU,0,0.0,0,0
Lambton Shores MU,0,0,0,0
Meaford MU,0,0.0,2.2,0
Mississippi Mills T,0,0,0,0
North Perth MU,16.7,11.15,4.35,23.75
Prince Edward CY,7.6,5.15,3.85,6.9
Saugeen Shores T,0,0,2,0
South Huron MU,0,0,0.0,0
South Dundas MU,0,0,0.9,0
Scugog TP,0,0.0,0,0
Temiskaming Shores CY,0,0,0,0
The Nation M,0,0.0,0.0,0
West Nipissing M,0,0,1,0.0
West Grey MU,0,0,0,0
Arnprior CA,0,0,9.4,0
Brockville CA,3.6,3.0,3.05,0
Carleton Place CA,0,0,0,0
Centre Wellington CA,0,2.2,0.9,0
Cobourg CA,0,0.4,0.6,0.0
Collingwood CA,0,2.4,1.5,0
Elliot Lake CA,0,1.65,3.3,1.45
Hawkesbury CA,0.0,0,4.9,0
Ingersoll CA,0,2.2,1.1,0
Kenora CA,0,2.9,5.6,0
Leamington CA,0,1.75,1.8,0.5
Midland CA,0.0,1.95,1.65,0.0
Orillia CA,0,2.2,2.2,0.6
Owen Sound CA,0,3.25,1.4,0.7
Pembroke CA,1.45,3.25,3.1,0
Petawawa CA,0,0,4.5,12.75
Port Hope CA,4.4,0.5,2.45,0.0
Stratford CA,0,1.15,1.85,3.4
