schoolLocation,schoolName,schoolType,schoolLevel,gradeRange
Sault Ste Marie,Anna McCrea Public School,Public,Elementary,JK-8
Bruce Mines,Arthur Henderson Public School,Public,Elementary,JK-3
Sault Ste Marie,Ben R McMullin Public School,Public,Elementary,JK-8
Blind River,Blind River Public School,Public,Elementary,JK-8
Sault Ste Marie,Boreal French Immersion Public School,Public,Elementary,JK-8
Desbarats,Central Algoma Intermediate School,Public,Elementary,7-8
Desbarats,Central Algoma Public School,Public,Elementary,JK-6
Desbarats,Central Algoma Secondary School,Public,Secondary,9-12
Elliot Lake,Central Avenue Public School,Public,Elementary,JK-8
Chapleau,Chapleau High School,Public,Secondary,9-12
Chapleau,Chapleau Public School,Public,Elementary,JK-8
Sault Ste Marie,East View Public School,Public,Elementary,JK-8
Echo Bay,Echo Bay Central Public School,Public,Elementary,JK-6
Elliot Lake,Elliot Lake Secondary School,Public,Secondary,9-12
Elliot Lake,Esten Park Public School,Public,Elementary,JK-8
Sault Ste Marie,Francis H Clergue Public School,Public,Elementary,JK-8
Sault Ste Marie,Grand View Public School,Public,Elementary,JK-8
Sault Ste Marie,Greenwood Public School,Public,Elementary,JK-8
Sault Ste Marie,H M Robbins Public School,Public,Elementary,JK-8
Hornepayne,Hornepayne High School,Public,Secondary,9-12
Hornepayne,Hornepayne Public School,Public,Elementary,JK-8
Sault Ste Marie,Isabel Fletcher Public School,Public,Elementary,JK-6
Sault Ste Marie,Kiwedin Public School,Public,Elementary,JK-6
Sault Ste Marie,Korah Collegiate and Vocational School,Public,Secondary,9-12
Sault Ste Marie,Korah Intermediate School,Public,Elementary,7-8
Wawa,Michipicoten High School,Public,Secondary,9-12
Missanabie,Missarenda Consolidated Public School,Public,Elementary,JK-8
Missanabie,Missarenda Secondary School,Public,Secondary,9-12
Goulais River,Mountain View Public School,Public,Elementary,JK-8
Elliot Lake,North Shore Adolescent Education School,Public,Secondary,9-12
Sault Ste Marie,Northern Heights Public School,Public,Elementary,JK-8
Sault Ste Marie,Parkland Public School,Public,Elementary,JK-8
Sault Ste Marie,Pinewood Public School,Public,Elementary,JK-8
Sault Ste Marie,Queen Elizabeth Public School,Public,Elementary,JK-8
Sault Ste Marie,R M Moore Public School,Public,Elementary,JK-8
Sault Ste Marie,River View Public School,Public,Elementary,JK-8
Serpent River,Rockhaven School forExceptional Children Public School,Public,Elementary,JK-8
Wawa,Sir James Dunn Public School,Public,Elementary,JK-8
Richards Landing,St Joseph Island Central Public School,Public,Elementary,JK-6
Sault Ste. Marie,Superior Heights Collegiate and Vocational School,Public,Secondary,9-12
Sault Ste Marie,Superior Heights Community Education,Public,Elementary,7-8
Sault Ste. Marie,Superior Heights Intermediate School,Public,Elementary,7-8
Sault Ste Marie,Tarentorus Public School,Public,Elementary,JK-8
Thessalon,Thessalon Public School,Public,Elementary,JK-6
Blind River,W C Eaket Secondary School,Public,Secondary,9-12
Sault Ste Marie,White Pines Collegiate and Vocational School,Public,Secondary,9-12
SAULT STE. MARIE,White Pines Intermediate School,Public,Elementary,7-8
Kingston,Archbishop O'Sullivan Catholic School,Catholic,Elementary,JK-8
Kingston,Cathedrale Catholic School,Catholic,Elementary,JK-8
Belleville,Georges Vanier Catholic School,Catholic,Elementary,JK-8
Kingston,Holy Cross Catholic Secondary School,Catholic,Secondary,9-12
Kingston,Holy Name Catholic School,Catholic,Elementary,JK-8
Marysville,Holy Name of Mary Catholic School,Catholic,Elementary,JK-8
Belleville,Holy Rosary Catholic School,Catholic,Elementary,JK-8
Napanee,J J O'Neill Catholic School,Catholic,Elementary,JK-8
Kingston,John XXIII Catholic School,Catholic,Elementary,JK-8
Kingston,Mother Teresa Catholic School,Catholic,Elementary,JK-8
Belleville,Nicholson Catholic College,Catholic,Secondary,9-12
Belleville,Our Lady of Fatima Catholic School,Catholic,Elementary,JK-8
Kingston,Our Lady of Lourdes Catholic School,Catholic,Elementary,JK-8
Bancroft,Our Lady of Mercy Catholic School,Catholic,Elementary,JK-8
Amherstview,Our Lady of Mount Carmel Catholic School,Catholic,Elementary,JK-8
Kingston,Regiopolis/Notre-Dame Catholic High School,Catholic,Secondary,9-12
Marmora,Sacred Heart Catholic School,Catholic,Elementary,JK-8
Batawa,Sacred Heart Catholic School,Catholic,Elementary,JK-8
Wolfe Island,Sacred Heart Catholic School,Catholic,Elementary,JK-8
Tweed,St Carthagh Catholic School,Catholic,Elementary,JK-8
Kingston,St Francis of Assisi Catholic School,Catholic,Elementary,JK-8
Picton,St Gregory Catholic School,Catholic,Elementary,JK-8
Sharbot Lake,St James Major,Catholic,Elementary,JK-8
Belleville,St Joseph Catholic School,Catholic,Elementary,JK-8
Kingston,St Joseph School,Catholic,Elementary,JK-5
Kingston,St Marguerite Bourgeoys Catholic School,Catholic,Elementary,JK-8
Kingston,St Martha Catholic School,Catholic,Elementary,JK-8
Whitney,St Martin of Tours Catholic School,Catholic,Elementary,JK-8
Trenton,St Mary Catholic School,Catholic,Elementary,JK-6
Shannonville,St Mary Catholic School,Catholic,Elementary,JK-8
Belleville,St Michael Catholic School,Catholic,Elementary,JK-8
Erinsville,St Patrick Catholic School,Catholic,Elementary,JK-8
Harrowsmith,St Patrick Catholic School,Catholic,Elementary,JK-8
Trenton,St Paul Catholic Elementary School,Catholic,Elementary,7-8
Kingston,St Paul Catholic School,Catholic,Elementary,JK-8
Trenton,St Paul Catholic Secondary School,Catholic,Secondary,9-12
Trenton,St Peter Catholic School,Catholic,Elementary,JK-8
Belleville,St Theresa Catholic Secondary School,Catholic,Secondary,9-12
Kingston,St Thomas More Catholic School,Catholic,Elementary,JK-8
Stratford,Anne Hathaway Public School,Public,Elementary,JK-6
Clinton,Avon Maitland District E-learning Centre,Public,Secondary,9-12
Stratford,Avon Public School,Public,Elementary,JK-6
Stratford,Bedford Public School,Public,Elementary,JK-6
Hensall,Bluewater Coast Elementary Public School,Public,Elementary,JK-6
Lucknow,Brookside Public School,Public,Elementary,JK-8
Clinton,Central Huron Secondary School,Public,Secondary,9-12
Sebringville,Central Perth Elementary School,Public,Elementary,JK-8
Clinton,Clinton Public School,Public,Elementary,JK-8
St Pauls,Downie Central Public School,Public,Elementary,JK-8
Atwood,Elma Township Public School,Public,Elementary,JK-8
Exeter,Exeter Elementary School,Public,Elementary,JK-6
Wingham,F E Madill Secondary School,Public,Secondary,9-12
Wingham,F. E. Madill Elementary,Public,Elementary,7-8
Goderich,GDCI - Elementary,Public,Elementary,7-8
Goderich,Goderich District Collegiate Institute,Public,Secondary,9-12
Goderich,Goderich Public School,Public,Elementary,JK-6
Stratford,Hamlet Public School,Public,Elementary,JK-6
Gorrie,Howick Central Public School,Public,Elementary,JK-8
Londesborough,Hullett Central Public School,Public,Elementary,JK-8
Brucefield,Huron Centennial Public School,Public,Elementary,JK-8
Listowel,Listowel District Secondary School,Public,Secondary,9-12
Listowel,Listowel Eastdale Public School,Public,Elementary,JK-6
St Marys,Little Falls Public School,Public,Elementary,JK-6
Wingham,Maitland River Elementary Public School,Public,Elementary,JK-6
Milverton,Milverton Public School,Public,Elementary,JK-8
Mitchell,Mitchell District Elementary Public School,Public,Elementary,7-8
Mitchell,Mitchell District High School,Public,Secondary,9-12
Newton,Mornington Central Public School,Public,Elementary,JK-8
Stratford,North Easthope Public School,Public,Elementary,JK-8
Listowel,North Perth Westfield Elementary School,Public,Elementary,JK-8
Ethel,North Woods Elementary School,Public,Elementary,JK-6
